GeranCellId,Parameter,ext_Value,int_Value,e_NodeId,i_NodeId,equal,IsNumeric
DA5136B,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5WD7A,bsPwr,42,40,DBEA4,DBEA5,False,False
DA5WD7B,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5XY2C,bsPwr,42,40,DBEA4,DBEA5,False,False
DA5NF3A,bsPwr,42,40,DBEA4,DBEA5,False,False
DA5NF3B,bsPwr,42,40,DBEA4,DBEA5,False,False
DA5BD7A,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5704A,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5V89A,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5V89B,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5748B,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5ZM5C,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5ZH2B,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5530A,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5C19B,bsPwr,42,43,DBEA4,DBEA5,False,False
DA5XY2A,bsPwr,42,40,DBEA4,DBEA5,False,False
NOSNM33A,bsPwr,42,43,DBEA4,CBEA5,False,False
LXRGN10B,bsPwr,42,43,DBEA5,CBEA5,False,False
CMMHG27B,bsPwr,42,40,DBEA5,CBEA5,False,False
CMNKT79A,bsPwr,42,40,DBEA5,DBEA4,False,False
CMNKT39A,bsPwr,42,40,DBEA5,DBEA4,False,False
LXRGN41B,bsPwr,42,40,DBEA5,CBEA5,False,False
CMBRRC8A,bsPwr,80,43,DBEA5,DBEA1,False,False
CGPCHD0A,bsPwr,42,43,CBEC3,CBEC2,False,False
CGPCHD0B,bsPwr,42,43,CBEC3,CBEC2,False,False
DA4YM6B,bsPwr,42,43,CBEA5,DBEA4,False,False
DA5A8AB,bsPwr,42,43,CBEA5,DBEA5,False,False
DA5452B,bsPwr,42,43,CBEA5,DBEA5,False,False
